scorer,Gianna,Gianna,Gianna,Gianna,Gianna,Gianna
bodyparts,Nose,Nose,Left Paw,Left Paw,Right Paw,Right Paw
coords,x,y,x,y,x,y
labeled-data\13\img015989.png,333.3997003218767,306.32304191794003,281.3075030522773,749.1067187095343,244.84296496355773,534.2264049724371
labeled-data\13\img045682.png,263.0752340079175,411.8097413888786,274.79597839357734,553.7609789485368,272.1913685300974,639.7131044433756
labeled-data\13\img054818.png,386.794202523216,249.02162492138075,360.7481038884164,403.9959117984388,324.2835657996968,670.9684228051352
labeled-data\13\img054852.png,382.88728772799595,259.4400643753006,359.4457989566763,406.6005216619187,328.1904805949166,668.3638129416554
labeled-data\13\img054932.png,342.5158348440566,213.85939176440115,325.58587073143667,473.0180731806579,291.72594250619704,616.271615672056
labeled-data\13\img054949.png,346.4227496392764,217.76630655962117,324.2835657996968,500.36647674719745,265.67984387139745,512.0872211328574
labeled-data\13\img054968.png,342.5158348440566,224.277831218321,320.3766510044768,517.2964408598173,278.70289318879736,405.29821673017875
labeled-data\13\img054997.png,373.77115320581606,206.04556217396123,311.2605164822969,522.5056605867771,320.3766510044768,359.7175441192793
labeled-data\13\img055043.png,367.2596285471161,177.3948536756817,358.1434940249362,542.040234562877,319.0743460727367,423.53048577453853
labeled-data\13\img055062.png,346.4227496392764,163.06949942654182,382.88728772799595,355.8106293240594,321.6789559362169,478.22729290761777
labeled-data\13\img055080.png,330.79509045839654,160.4648895630619,345.12044470753654,281.5792482148803,320.3766510044768,521.2033556550373
labeled-data\13\img055109.png,315.1674312775169,164.3718043582818,303.4466868918571,344.08988493839956,290.4236375744572,573.2955529246366
labeled-data\13\img055151.png,311.2605164822969,247.71931998964078,298.237467164897,437.8558400236783,280.0051981205372,669.6661178733953
labeled-data\13\img055183.png,312.562821414037,354.5083243923194,308.65590661881697,508.1803063376374,280.0051981205372,736.0836693921344
labeled-data\13\img055261.png,316.4697362092568,288.09077287358025,309.9582115505568,561.5748085389766,286.51672277923717,717.8514003477746
labeled-data\13\img055280.png,329.4927855266567,276.3700284879204,322.98126086795673,599.3416515594363,265.67984387139745,582.4116874468165
labeled-data\13\img055308.png,338.6089200488366,272.4631136927004,307.3536016870769,641.0154093751157,266.98214880313753,479.52959783935773
labeled-data\13\img055334.png,367.2596285471161,238.6031854674609,313.86512634577684,639.7131044433756,317.77204114099686,409.20513152539866
labeled-data\13\img055365.png,380.282677864516,191.72020792482147,386.794202523216,607.1554811498761,338.6089200488366,420.9258759110585
labeled-data\13\img055380.png,386.794202523216,183.90637833438154,406.3287764993156,459.995023863258,339.91122498057643,448.27427947759816
labeled-data\13\img055412.png,367.2596285471161,177.3948536756817,369.8642384105963,316.7414813718599,355.5388841614563,512.0872211328574
labeled-data\13\img093647.png,402.4218617040958,90.14042324910281,411.5379962262757,509.48261126937734,375.07345813755614,323.25300603055973
labeled-data\13\img093660.png,410.2356912945356,78.41967886344287,441.4910096562953,336.27605534795964,392.00342225017584,337.5783602796996
labeled-data\13\img093675.png,414.14260608975565,69.30354434126309,425.8633504754155,204.74325724222126,411.5379962262757,364.9267638462393
labeled-data\13\img093729.png,388.09650745495605,49.76897036516334,390.701117318436,308.92765178141997,372.4688482740762,463.901938658478
labeled-data\13\img093759.png,367.2596285471161,62.79201968256314,364.6550186836362,374.0428983684192,341.2135299123165,453.48349920455814
labeled-data\13\img093780.png,368.5619334788562,62.79201968256314,339.91122498057643,448.27427947759816,306.05129675533703,359.7175441192793
labeled-data\13\img093807.png,354.2365792297164,86.23350845388279,328.1904805949166,512.0872211328574,319.0743460727367,342.7875800066595
labeled-data\13\img093833.png,334.3815470618597,113.68513301897508,379.0332306857847,413.92921255916076,337.46097351868207,381.59523476252537
labeled-data\13\img093840.png,322.06384123456996,112.14541979056389,385.19208359942957,321.54641885448825,348.2389661175605,392.3732273614039
labeled-data\13\img093862.png,323.60355446298115,81.35115522233968,340.54039997550444,253.7990368043951,366.715524858495,432.40577130009524
labeled-data\13\img093942.png,352.85810580279417,58.25545679617153,292.80928989475706,429.32634484327286,291.26957666634587,383.13494799093655
labeled-data\13\img094019.png,343.61982643232693,61.33488325299413,318.9844147777476,473.9780284671979,289.72986343793457,326.1655585397219
labeled-data\13\img094051.png,368.2552380869063,30.54061868476981,332.8418338334484,480.13688138084274,305.1269957220467,259.95788971803995
labeled-data\13\img094078.png,351.318392574383,15.143486400657821,397.5097894267192,386.21437444775904,354.39781903120536,258.41817648962876
labeled-data\13\img094090.png,351.318392574383,4.36549380177928,409.8274952540088,182.97222829747955,362.0963851732614,272.27559554532957
labeled-data\13\img094134.png,,,317.4447015493364,215.30620609411483,312.8255618641027,413.92921255916076
labeled-data\13\img094165.png,,,268.1738782401777,301.5301468851426,249.69731949924324,453.9617564978522
labeled-data\13\img094181.png,285.110723752701,2.8257805733680925,238.9193269003647,350.80097019430127,211.20448878896298,292.29186751467535
