scorer,Gianna,Gianna,Gianna,Gianna,Gianna,Gianna
bodyparts,Nose,Nose,Left Paw,Left Paw,Right Paw,Right Paw
coords,x,y,x,y,x,y
labeled-data\Vertical17.2\img031366.png,294.34038308060644,430.59337589784514,340.31005586592187,579.9948124501198,302.0019952114924,579.9948124501198
labeled-data\Vertical17.2\img031407.png,335.20231444533124,458.68595371109336,393.9413407821228,582.5486831604151,290.5095770151636,641.2877094972068
labeled-data\Vertical17.2\img031414.png,337.75618515562655,457.4090183559457,392.66440542697524,530.1943335993616,296.89425379090176,615.7490023942539
labeled-data\Vertical17.2\img031433.png,330.0945730247406,453.57821229050285,365.8487629688748,466.3475658419793,340.31005586592187,560.840782122905
labeled-data\Vertical17.2\img121014.png,245.81683958499593,452.3012769353552,234.32442138866713,693.6420590582602,192.1855546687948,614.4720670391062
labeled-data\Vertical17.2\img121028.png,250.92458100558656,426.7625698324023,229.21667996807662,702.5806065442938,201.1241021548284,523.8096568236233
labeled-data\Vertical17.2\img121042.png,256.0323224261772,398.66999201915405,236.87829209896245,703.8575418994415,233.04748603351948,525.0865921787711
labeled-data\Vertical17.2\img121060.png,253.47845171588187,374.4082202713488,258.5861931364725,706.4114126097368,241.98603351955308,528.9173982442139
labeled-data\Vertical17.2\img121077.png,254.75538707102942,348.86951316839577,289.2326416600158,659.1648044692738,241.98603351955308,550.625299281724
labeled-data\Vertical17.2\img121083.png,262.41699920191536,342.4848363926576,295.6173184357542,596.5949720670392,252.20151636073422,567.2254588986433
labeled-data\Vertical17.2\img121089.png,263.6939345570629,345.0387071029529,304.5558659217877,542.963687150838,256.0323224261772,573.6101356743816
labeled-data\Vertical17.2\img121095.png,263.6939345570629,345.0387071029529,305.83280127693524,493.1632083000799,256.0323224261772,582.5486831604151
labeled-data\Vertical17.2\img121140.png,243.26296887470062,276.08419792498,226.6628092577813,499.54788507581804,190.90861931364714,502.10175578611336
labeled-data\Vertical17.2\img121146.png,239.43216280925776,274.80726256983235,221.55506783719068,508.4864325618516,183.2470071827613,449.7474062250599
labeled-data\Vertical17.2\img121154.png,240.70909816440542,267.1456504389465,224.108938547486,518.7019154030327,179.41620111731834,398.66999201915405
labeled-data\Vertical17.2\img121164.png,243.26296887470062,256.93016759776526,224.108938547486,530.1943335993616,206.2318435754189,382.0698324022346
labeled-data\Vertical17.2\img121239.png,282.84796488427764,241.6069433359936,295.6173184357542,597.8719074221868,258.5861931364725,513.5941739824422
labeled-data\Vertical17.2\img121246.png,275.18635275339193,240.33000798084595,303.27893056663993,521.255786113328,270.0786113328013,532.7482043096568
labeled-data\Vertical17.2\img121252.png,280.29409417398233,240.33000798084595,302.0019952114924,456.13208300079805,275.18635275339193,551.9022346368715
labeled-data\Vertical17.2\img121258.png,287.9557063048683,239.0530726256983,316.0482841181165,415.27015163607336,290.5095770151636,568.502394253791
labeled-data\Vertical17.2\img121267.png,289.2326416600158,239.0530726256983,327.5407023144453,364.19273743016754,289.2326416600158,592.7641660015962
labeled-data\Vertical17.2\img121275.png,291.78651237031113,232.66839584996,309.6636073423783,327.1616121308858,293.0634477254589,610.6412609736633
labeled-data\Vertical17.2\img121288.png,271.35554668794884,218.6221069433359,286.67877094972073,360.3619313647247,279.0171588188348,619.5798084596968
labeled-data\Vertical17.2\img121294.png,267.524740622506,213.51436552274538,280.29409417398233,361.63886671987234,250.92458100558656,596.5949720670392
labeled-data\Vertical17.2\img121297.png,266.2478052673582,210.96049481245007,271.35554668794884,379.5159616919393,233.04748603351948,550.625299281724
labeled-data\Vertical17.2\img121299.png,262.41699920191536,205.85275339185944,273.90941739824416,389.73144453312045,230.49361532322416,513.5941739824422
labeled-data\Vertical17.2\img121300.png,266.2478052673582,208.40662410215475,271.35554668794884,382.0698324022346,227.93974461292896,503.378691141261
labeled-data\Vertical17.2\img121303.png,263.6939345570629,205.85275339185944,267.524740622506,398.66999201915405,225.38587390263365,465.07063048683165
labeled-data\Vertical17.2\img121307.png,270.0786113328013,205.85275339185944,257.30925778132473,416.547086991221,210.06264964086188,426.7625698324023
labeled-data\Vertical17.2\img121313.png,264.9708699122107,203.29888268156412,247.0937749401436,440.8088587390264,203.6779728651236,359.084996009577
labeled-data\Vertical17.2\img121321.png,259.86312849162005,200.74501197126892,238.1552274541101,465.07063048683165,215.1703910614525,292.68435754189943
labeled-data\Vertical17.2\img121334.png,279.0171588188348,196.91420590582595,238.1552274541101,507.20949720670393,250.92458100558656,315.66919393455703
labeled-data\Vertical17.2\img126326.png,,,331.37150837988816,413.9932162809258,321.1560255387071,314.3922585794094
labeled-data\Vertical17.2\img126338.png,296.89425379090176,102.42098962490013,346.69473264166004,286.29968076616115,326.26376695929775,346.31564245810057
labeled-data\Vertical17.2\img126348.png,303.27893056663993,117.7442138866719,340.31005586592187,204.57581803671178,322.43296089385467,374.4082202713488
labeled-data\Vertical17.2\img126386.png,264.9708699122107,119.02114924181956,298.1711891460495,297.79209896248994,298.1711891460495,472.7322426177175
