scorer,Gianna,Gianna,Gianna,Gianna,Gianna,Gianna
bodyparts,Nose,Nose,Left Paw,Left Paw,Right Paw,Right Paw
coords,x,y,x,y,x,y
labeled-data\vertical14.1\img058471.png,210.06264964086188,499.54788507581804,256.0323224261772,693.6420590582602,181.97007182761365,448.4704708699122
labeled-data\vertical14.1\img058567.png,196.01636073423776,485.50159616919393,219.00119712689536,627.2414205905827,167.92378292098954,559.5638467677575
labeled-data\vertical14.1\img058635.png,230.49361532322416,338.6540303272146,217.7242617717477,560.840782122905,179.41620111731834,470.17837190742216
labeled-data\vertical14.1\img058642.png,231.77055067837182,329.71548284118114,225.38587390263365,567.2254588986433,193.46249002394245,406.3316041500399
labeled-data\vertical14.1\img058666.png,270.0786113328013,297.79209896248994,241.98603351955308,595.3180367118915,244.53990422984828,410.16241021548285
labeled-data\vertical14.1\img075015.png,262.41699920191536,434.4241819632881,261.1400638467678,636.1799680766162,229.21667996807662,761.3196328810855
labeled-data\vertical14.1\img075033.png,258.5861931364725,402.5007980845969,252.20151636073422,646.3954509177973,216.44732641660016,620.8567438148444
labeled-data\vertical14.1\img075039.png,253.47845171588187,394.8391859537111,243.26296887470062,654.0570630486832,202.40103750997605,565.9485235434956
labeled-data\vertical14.1\img075063.png,272.6324820430966,366.74660814046285,245.81683958499593,664.2725458898644,252.20151636073422,440.8088587390264
labeled-data\vertical14.1\img075079.png,293.0634477254589,345.0387071029529,275.18635275339193,684.7035115722267,276.4632881085395,472.7322426177175
labeled-data\vertical14.1\img075102.png,317.32521947326404,329.71548284118114,321.1560255387071,683.4265762170792,305.83280127693524,511.0403032721469
labeled-data\vertical14.1\img075112.png,318.6021548284118,325.88467677573817,341.5869912210694,586.3794892258579,314.7713487629687,545.5175578611334
labeled-data\vertical14.1\img075117.png,309.6636073423783,325.88467677573817,350.5255387071029,544.2406225059857,321.1560255387071,565.9485235434956
labeled-data\vertical14.1\img075127.png,314.7713487629687,324.6077414205905,353.0794094173982,474.00917797286513,327.5407023144453,596.5949720670392
labeled-data\vertical14.1\img075139.png,316.0482841181165,327.1616121308858,328.81763766959284,426.7625698324023,326.26376695929775,622.1336791699921
labeled-data\vertical14.1\img075149.png,307.109736632083,324.6077414205905,316.0482841181165,461.2398244213887,317.32521947326404,640.0107741420591
labeled-data\vertical14.1\img075177.png,271.35554668794884,319.5,284.1249002394254,518.7019154030327,281.5710295291301,694.918994413408
labeled-data\vertical14.1\img075185.png,267.524740622506,318.22306464485234,268.80167597765353,542.963687150838,248.37071029529125,666.8264166001597
labeled-data\vertical14.1\img075191.png,268.80167597765353,322.0538707102952,261.1400638467678,560.840782122905,225.38587390263365,602.9796488427774
labeled-data\vertical14.1\img075200.png,266.2478052673582,338.6540303272146,256.0323224261772,586.3794892258579,222.83200319233833,545.5175578611334
labeled-data\vertical14.1\img075208.png,267.524740622506,361.63886671987234,256.0323224261772,596.5949720670392,230.49361532322416,546.7944932162809
labeled-data\vertical14.1\img075224.png,264.9708699122107,392.28531524341577,257.30925778132473,646.3954509177973,224.108938547486,523.8096568236233
labeled-data\vertical14.1\img075236.png,266.2478052673582,399.9469273743017,257.30925778132473,683.4265762170792,247.0937749401436,490.60933758978456
labeled-data\vertical14.1\img075257.png,291.78651237031113,371.8543495610535,282.84796488427764,726.842378292099,276.4632881085395,536.5790103750999
labeled-data\vertical14.1\img075272.png,299.44812450119707,352.70031923383874,310.94054269752587,712.7960893854749,291.78651237031113,578.7178770949721
labeled-data\vertical14.1\img075281.png,295.6173184357542,343.76177174780526,337.75618515562655,617.0259377494015,296.89425379090176,614.4720670391062
labeled-data\vertical14.1\img075286.png,298.1711891460495,342.4848363926576,339.0331205107741,563.3946528332003,305.83280127693524,629.795291300878
labeled-data\vertical14.1\img075292.png,296.89425379090176,339.9309656823623,336.4792498004788,508.4864325618516,308.38667198723056,647.672386272945
labeled-data\vertical14.1\img075298.png,294.34038308060644,336.1001596169193,328.81763766959284,471.4553072625698,304.5558659217877,652.7801276935356
labeled-data\vertical14.1\img075306.png,285.40183559457296,327.1616121308858,299.44812450119707,445.9166001596169,304.5558659217877,655.333998403831
labeled-data\vertical14.1\img086564.png,164.09297685554668,401.22386272944937,286.67877094972073,528.9173982442139,199.84716679968074,571.0562649640863
labeled-data\vertical14.1\img086585.png,106.63088587390257,567.2254588986433,294.34038308060644,555.7330407023145,188.35474860335194,665.549481245012
