Start Recording GUI ,1
31434,0.01314,g
31469,0.19755,g
31482,0.0434,g
31495,0.00148,g
31506,0.1294,g
31518,0.22266,g
31530,0.08048,g
31544,-0.007,g
31556,0.088,g
31567,0.22503,g
31579,0.13811,g
31591,0.00277,g
31604,0.01018,g
31616,0.18296,g
31628,0.18603,g
31640,0.01796,g
31654,-0.00378,g
31665,0.14596,g
31677,0.22748,g
31689,0.09555,g
31702,-0.01156,g
31715,0.07751,g
31726,0.23274,g
31738,0.13544,g
31750,0.00748,g
31764,0.02937,g
31775,0.17951,g
31787,0.20077,g
31799,0.03477,g
31813,0.0037,g
31825,0.13829,g
31836,0.224,g
31848,0.09224999,g
31860,0.00396,g
31873,0.08585,g
31885,0.22477,g
31897,0.13388,g
31909,-0.01026,g
31923,0.03303,g
31935,0.18192,g
31946,0.19737,g
31958,0.0534,g
31971,0.00014,g
31983,0.15907,g
31995,0.22107,g
32007,0.08276999,g
32020,-0.00108,g
32033,0.0827,g
32044,0.22559,g
32056,0.13092,g
32068,0.00533,g
32080,0.04044,g
32094,0.1987,g
32105,0.19592,g
32117,0.03625,g
32130,-0.00312,g
32142,0.14259,g
32154,0.22907,g
32166,0.07937,g
32179,-0.007410001,g
32192,0.08974,g
32204,0.24703,g
32215,0.1477,g
32227,-0.00556,g
32240,0.02959,g
32252,0.2117,g
32264,0.19496,g
32276,0.02888,g
32289,-0.01282,g
32302,0.13755,g
32313,0.241,g
32325,0.07818,g
32338,-0.01838,g
32350,0.08459001,g
32363,0.21766,g
32374,0.14759,g
32386,0.00414,g
32398,0.03088,g
32412,0.19614,g
32423,0.19603,g
32435,0.04618,g
32448,0.0124,g
32461,0.14259,g
32473,0.22814,g
32484,0.08651,g
32497,-0.01608,g
32509,0.09766,g
32522,0.22359,g
32533,0.13959,g
32545,0.00466,g
32557,0.02411,g
32571,0.20262,g
32583,0.18881,g
32594,0.03029,g
32607,0.01455,g
32619,0.14222,g
32632,0.22259,g
32643,0.08251,g
32656,-0.006630001,g
32668,0.09129,g
32681,0.23325,g
32692,0.14255,g
32704,-0.00412,g
32716,0.0454,g
32730,0.19729,g
32742,0.19477,g
32753,0.02529,g
32766,0.0047,g
32777,0.15729,g
32791,0.20459,g
32802,0.08766001,g
32815,-0.01112,g
32827,0.09322001,g
32840,0.2367,g
32852,0.13218,g
32863,0.00696,g
32876,0.04392,g
32889,0.21488,g
32901,0.18922,g
32912,0.04085,g
32925,0.0,g
32936,0.15203,g
32950,0.22466,g
32961,0.08459001,g
32973,-0.00371,g
32985,0.08203,g
32999,0.23292,g
33011,0.13181,g
33022,0.00214,g
33035,0.04337,g
33047,0.19785,g
33060,0.20237,g
33071,0.04007,g
33083,0.0167,g
33096,0.14911,g
33109,0.23318,g
33121,0.08976999,g
33132,-0.00271,g
33145,0.10159,g
33157,0.22111,g
33170,0.14625,g
33181,0.00488,g
33193,0.05125,g
33206,0.20848,g
33219,0.19218,g
33230,0.0427,g
33242,0.01125,g
33255,0.15185,g
33268,0.21433,g
33280,0.07351,g
33291,-0.00075,g
33304,0.09788,g
33316,0.22488,g
33329,0.13696,g
33340,-0.0073,g
33353,0.041,g
33365,0.20859,g
33378,0.17703,g
33390,0.03085,g
33401,0.0067,g
33413,0.13933,g
33426,0.22251,g
33439,0.07284999,g
33450,-0.00756,g
33462,0.09714001,g
33475,0.2294,g
33488,0.13662,g
33499,0.00211,g
33511,0.03492,g
33524,0.19985,g
33537,0.19118,g
33549,0.03929,g
33560,0.01088,g
33573,0.1467,g
33584,0.2247,g
33598,0.08162001,g
33609,-0.01223,g
33621,0.09129,g
33634,0.23159,g
33647,0.13796,g
33659,0.00525,g
33671,0.05122,g
33683,0.21103,g
33694,0.17481,g
33708,0.02974,g
33719,0.00503,g
33732,0.15811,g
33743,0.22692,g
33757,0.07692,g
33768,-0.01619,g
33780,0.09573999,g
33792,0.23648,g
33806,0.13518,g
33818,0.00251,g
33829,0.04251,g
33842,0.2014,g
33854,0.1834,g
33867,0.02766,g
33878,0.01851,g
33891,0.15137,g
